Stnr;Year;Month;Day;Time(UTC);PO
18700;2010;1;1;0;994.1
18700;2010;1;1;1;994.4
18700;2010;1;1;2;994.6
18700;2010;1;1;3;994.9
18700;2010;1;1;4;994.9
18700;2010;1;1;5;995.0
18700;2010;1;1;6;995.6
18700;2010;1;1;7;995.9
18700;2010;1;1;8;996.5
18700;2010;1;1;9;997.1
18700;2010;1;1;10;997.7
18700;2010;1;1;11;998.1
18700;2010;1;1;12;998.5
18700;2010;1;1;13;998.7
18700;2010;1;1;14;999.5
18700;2010;1;1;15;1000.1
18700;2010;1;1;16;1000.6
18700;2010;1;1;17;1001.4
18700;2010;1;1;18;1002.1
18700;2010;1;1;19;1003.0
18700;2010;1;1;20;1003.9
18700;2010;1;1;21;1004.8
18700;2010;1;1;22;1005.5
18700;2010;1;1;23;1005.9
18700;2010;1;2;0;1006.4
18700;2010;1;2;1;1006.9
18700;2010;1;2;2;1007.5
18700;2010;1;2;3;1008.0
18700;2010;1;2;4;1008.8
18700;2010;1;2;5;1009.3
18700;2010;1;2;6;1009.8
18700;2010;1;2;7;1010.3
18700;2010;1;2;8;1010.8
18700;2010;1;2;9;1011.5
18700;2010;1;2;10;1011.9
18700;2010;1;2;11;1012.2
18700;2010;1;2;12;1012.5
18700;2010;1;2;13;1012.5
18700;2010;1;2;14;1012.9
18700;2010;1;2;15;1012.8
18700;2010;1;2;16;1013.1
18700;2010;1;2;17;1012.9
18700;2010;1;2;18;1013.0
18700;2010;1;2;19;1012.9
18700;2010;1;2;20;1012.8
18700;2010;1;2;21;1012.5
18700;2010;1;2;22;1012.1
18700;2010;1;2;23;1011.6
18700;2010;1;3;0;1010.9
18700;2010;1;3;1;1010.3
18700;2010;1;3;2;1009.9
18700;2010;1;3;3;1009.7
18700;2010;1;3;4;1009.1
18700;2010;1;3;5;1008.1
18700;2010;1;3;6;1007.5
18700;2010;1;3;7;1007.0
18700;2010;1;3;8;1006.7
18700;2010;1;3;9;1006.3
18700;2010;1;3;10;1005.9
18700;2010;1;3;11;1005.1
18700;2010;1;3;12;1004.1
18700;2010;1;3;13;1003.3
18700;2010;1;3;14;1003.0
18700;2010;1;3;15;1002.8
18700;2010;1;3;16;1002.7
18700;2010;1;3;17;1002.2
18700;2010;1;3;18;1001.9
18700;2010;1;3;19;1001.5
18700;2010;1;3;20;1001.1
18700;2010;1;3;21;1000.9
18700;2010;1;3;22;1000.2
18700;2010;1;3;23;999.8
18700;2010;1;4;0;999.3
18700;2010;1;4;1;998.7
18700;2010;1;4;2;997.8
18700;2010;1;4;3;997.2
18700;2010;1;4;4;996.2
18700;2010;1;4;5;995.5
18700;2010;1;4;6;994.7
18700;2010;1;4;7;994.2
18700;2010;1;4;8;993.4
18700;2010;1;4;9;993.4
18700;2010;1;4;10;993.1
18700;2010;1;4;11;992.6
18700;2010;1;4;12;992.2
18700;2010;1;4;13;991.8
18700;2010;1;4;14;992.0
18700;2010;1;4;15;992.2
18700;2010;1;4;16;992.3
18700;2010;1;4;17;992.6
18700;2010;1;4;18;992.6
18700;2010;1;4;19;993.1
18700;2010;1;4;20;993.6
18700;2010;1;4;21;994.4
18700;2010;1;4;22;994.7
